thalos_id,calories,protein,fat,carbs
106748,117,2.9,3.5,19.1
106749,434,1,11.36,81.84
106750,114,3,3.8,17.7
106751,115,2.7,2.9,20.1
106752,363,0.1,0.5,91.8
106753,109,0.65,1.12,24.2
106754,380,0.12,0,98.09
106755,153,1.4,0.97,34.56
106756,350,4.6,8.9,62.9
106757,286,0,0,77.59
106758,283,0,0.2,76.79
106759,265,0,0.1,69.6
106760,319,0,0,83.9
106761,402,0.19,4.25,90.76
106762,216,1.21,0,57.01
106763,401,0.18,4,91.02
106764,405,0.19,4.37,90.78
106765,413,0.34,12.74,74.28
106766,404,1.1,12.87,71.02
106767,364,1.32,0.06,89.05
106768,113,0,2.6,23.9
106769,160,4,6,24.9
106770,519,2.3,33.6,58.4
106771,550,21.5,49.6,5.4
106772,538,57.9,31.8,1.6
106773,359,1.42,7.17,72.18
106774,545,4.62,35.28,55.38
106775,522,6.7,34.4,53.3
106776,386,8.1,3.8,79.9
106777,541,10.9,36.7,46.5
106778,387,8.1,2.4,83.4
106779,445,8.7,15.2,71.6
106780,448,11,5.7,80.2
106781,432,8.5,12.1,72.35
106782,342,5.9,0.9,77.6
106783,365,4.22,8.67,67.61
106784,318,8.44,3.53,65.22
106785,253,5.06,0.93,56
106786,498,2.3,24.9,68.1
106787,386,0,4.4,89
106788,370,7.11,1.75,79.45
106789,334,8.28,3.4,70.28
106790,348,8.41,2.85,73.43
106791,355,8.41,1.72,74.79
106792,119,3.51,1,23.67
106793,246,17.3,7.03,66.22
106794,40,3.21,0.86,11.44
106795,368,14.12,6.07,64.16
106796,112,2.32,0.83,23.51
106797,370,7.6,2.75,78.68
106798,365,7.13,0.66,79.95
106799,130,2.69,0.28,28.17
106800,360,6.61,0.58,79.34
106801,130,2.38,0.21,28.59
106802,358,6.5,0.52,79.15
106803,130,2.36,0.19,28.73
106804,370,6.81,0.55,81.68
106805,338,10.34,1.63,75.86
106806,325,15.91,2.22,68.63
106807,349,10.88,1.52,75.43
106808,357,9.82,1.33,76.68
106809,338,13.18,1.81,73.14
106810,329,15.4,1.92,68.03
106811,327,12.61,1.54,71.18
106812,331,10.35,1.56,74.24
106813,360,23.15,9.72,51.8
106814,340,13.21,2.5,71.97
106815,364,10.33,0.98,76.31
106816,354,9.89,0.97,74.22
106817,361,11.98,1.66,72.53
106818,101,3.99,0.34,21.34
106819,363,7.23,2.78,76.48
106820,357,7.46,2.08,79.26
106821,126,2.63,0.73,27.91
106822,130,5.28,1.74,23.54
106823,124,4.37,0.98,25.12
106824,367,13.14,1.04,74.88
106825,128,4.53,0.11,26.61
106826,471,10.88,21.24,63.64
106827,336,14.38,0.71,74.62
106828,99,5.06,0.1,21.44
106829,356,11.35,0.81,74.1
106830,131,4,0.18,27.54
106831,149,5.99,1.71,30.07
106832,372,13.35,1.57,74.81
106833,130,4.58,0.63,26.15
106834,361,11.98,1.66,72.53
106835,108,1.79,0.2,24.01
106836,362,13.51,2.68,73.1
106837,159,5.82,1.5,31.51
106838,120,4.4,1.92,21.3
106839,101,3.87,0.65,19.86
106840,138,4.54,2.07,25.16
106841,365,9.42,4.74,74.26
106842,364,8.75,5.09,73.89
106843,370,7.11,1.75,79.45
106844,334,8.28,3.4,70.28
106845,348,8.41,2.85,73.43
106846,355,8.41,1.72,74.79
106847,138,4.54,2.07,25.16
106848,371,13.04,1.51,74.67
106849,158,5.8,0.93,30.86
106850,370,7.11,1.75,79.45
106851,130,2.38,0.21,28.59
106852,358,6.5,0.52,79.15
106853,130,2.36,0.19,28.73
106854,360,12.68,1.05,72.83
106855,164,8.86,0.21,30.88
106856,130,2.69,0.28,28.17
106857,364,10.33,0.98,76.31
106858,374,21.78,2.23,65.65
106859,366,9.71,1.48,76.22
106860,363,11.5,1.45,73.81
106861,363,11.5,1.45,73.81
106862,363,11.5,1.45,73.81
106863,362,13.07,1.38,72.2
106864,359,8.43,3.34,76.64
106865,332,9.61,1.95,74.48
106866,81,2.04,0.07,17.98
106867,162,2.56,7.47,22.22
106868,134,2.4,3.42,24.31
106869,187,2.7,10,22.95
106870,359,10.84,1.27,76.02
106871,129,2.82,3.2,22.03
